request_id, total_no_transfer,walking_cost_no_transfer,tripCost_no_transfer,waitTimeViolationCost_no_transfer,changeInTripCostsOfOthers_no_transfer,vehCost_no_transfer,total_transfer,walking_cost_transfer,tripCost_transfer,waitTimeViolationCost_transfer,changeInTripCostsOfOthers_transfer,vehCost_transfer,infty_no_transfer,infty_transfer,transfer_improves
0, 19360, 0, 9380, 0, 0, 9980, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
1, 33247, 0, 15833, 981, 0, 16433, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
2, 30019, 0, 13925, 1569, 0, 14525, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
3, 23097, 0, 10683, 1131, 0, 11283, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
4, 21025, 0, 9834, 757, 0, 10434, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
5, 59022, 0, 28973, 476, 0, 29573, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
6, 14941, 0, 7457, 0, 0, 7484, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
7, 18252, 0, 8826, 0, 0, 9426, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
8, 19544, 0, 9472, 0, 0, 10072, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
9, 12898, 0, 6149, 0, 0, 6749, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
10, 22944, 0, 11172, 0, 0, 11772, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
11, 17996, 0, 8698, 0, 0, 9298, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
12, 21840, 0, 10596, 48, 0, 11196, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
13, 38211, 0, 26223, 2415, 0, 9573, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
14, 14348, 0, 6874, 0, 0, 7474, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
15, 17783, 0, 8591, 1, 0, 9191, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
16, 17090, 0, 8245, 0, 0, 8845, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
17, 15562, 0, 7437, 88, 0, 8037, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
18, 11162, 0, 5281, 0, 0, 5881, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
19, 16921, 0, 9047, 0, 0, 7874, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
20, 27656, 0, 16792, 1712, 0, 9152, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
21, 12630, 0, 6232, 0, 0, 6398, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
22, 16386, 0, 7893, 0, 0, 8493, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
24, 47795, 0, 23226, 743, 0, 23826, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
23, 23452, 0, 10879, 1094, 0, 11479, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
25, 11370, 0, 5385, 0, 0, 5985, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
26, 37364, 0, 18382, 0, 0, 18982, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
27, 14151, 0, 6579, 393, 0, 7179, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
28, 16425, 0, 9291, 0, 0, 7134, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
29, 7786, 0, 3593, 0, 0, 4193, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
30, 10254, 0, 4827, 0, 0, 5427, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
31, 22694, 0, 11047, 0, 0, 11647, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
32, 54693, 0, 36894, 4395, 0, 13404, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
33, 17020, 0, 8210, 0, 0, 8810, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
34, 10468, 0, 4934, 0, 0, 5534, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
35, 16263, 0, 8281, 0, 0, 7982, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
36, 36111, 0, 17341, 829, 0, 17941, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
37, 6931, 0, 3220, 0, 0, 3711, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
38, 34043, 0, 15665, 2113, 0, 16265, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
39, 21921, 0, 11601, 0, 0, 10320, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
40, 12862, 0, 6131, 0, 0, 6731, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
41, 16499, 0, 7855, 189, 0, 8455, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
42, 27690, 0, 13027, 1036, 0, 13627, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
43, 14828, 0, 8321, 0, 0, 6507, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
44, 13180, 0, 6290, 0, 0, 6890, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
45, 30082, 0, 14517, 448, 0, 15117, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
46, 15208, 0, 7304, 0, 0, 7904, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
47, 30521, 0, 15606, 0, 0, 14915, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
48, 57152, 0, 27632, 1288, 0, 28232, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
49, 25154, 0, 11637, 1280, 0, 12237, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
50, 31997, 0, 15632, 133, 0, 16232, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
51, 18993, 0, 9685, 0, 0, 9308, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
52, 24698, 0, 12049, 0, 0, 12649, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
53, 13851, 0, 7439, 0, 0, 6412, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 1073741823, 0, 1, 0
