request_id, request_time, direct_od_dist, pickup_vehicle_id, dropoff_vehicle_id, pickup_insertion_point, transfer_pveh_insertion_point, transfer_dveh_insertion_point, dropoff_insertion_point, dist_to_pickup, dist_from_pickup, dist_to_transfer_pveh, dist_from_transfer_pveh, dist_to_transfer_dveh, dist_from_transfer_dveh, dist_to_dropoff, dist_from_dropoff, pickup_id, pickup_walking_dist, dropoff_id, dropoff_walking_dist, num_stops_pveh, num_stops_dveh, veh_dep_time_at_stop_before_pickup, veh_dep_time_at_stop_before_transfer_pveh, veh_dep_time_at_stop_before_transfer_dveh, veh_dep_time_at_stop_before_dropoff, cost
0, 320, 7964, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
1, 560, 11852, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
2, 720, 9356, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
3, 840, 6552, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
4, 1210, 6077, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
5, 7260, 25497, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
6, 11550, 6884, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
7, 16600, 8226, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
8, 16840, 8872, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
9, 22340, 3676, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
10, 23360, 10339, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
11, 24190, 5843, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
12, 24850, 7548, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
13, 27230, 3558, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,inf
