vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
148,600,320,1136,816,0
20,600,560,3941,3381,0
14,600,1210,4367,3157,0
3,600,840,4371,3531,0
92,600,720,4689,3969,0
148,600,1736,9700,7964,1
162,600,7260,10136,2876,0
14,600,4967,11044,6077,1
3,600,4971,11523,6552,1
92,600,5289,14645,9356,1
20,600,4541,16393,11852,1
148,600,16600,16600,0,0
92,600,16840,16840,0,0
3,600,12123,19007,6884,1
71,600,23360,23593,233,0
28,600,22340,24213,1873,0
148,600,17200,25426,8226,1
92,600,17440,26312,8872,1
161,600,24190,26445,2255,0
65,600,24850,27298,2448,0
28,600,24813,28489,3676,1
14,600,28750,28750,0,0
150,600,27230,32045,4815,0
174,600,32870,32870,0,0
161,600,27045,32888,5843,1
101,600,31530,33931,2401,0
71,600,24193,34532,10339,1
65,600,27898,35446,7548,1
14,600,29350,35624,6274,1
150,600,32645,36203,3558,1
162,600,10736,36233,25497,1
55,600,34740,36426,1686,0
199,600,34440,36928,2488,0
14,600,36224,36968,744,0
185,600,36110,37643,1533,0
161,600,38270,38270,0,0
28,600,35060,39172,4112,0
55,600,37026,40021,2995,1
101,600,34531,40121,5590,1
58,600,38580,40147,1567,0
141,600,37390,40533,3143,0
24,600,37390,40884,3494,0
174,600,33470,41115,7645,1
199,600,37528,41877,4349,1
14,600,37568,42022,4454,1
55,600,42410,42410,0,0
199,600,42980,42980,0,0
28,600,39772,43612,3840,1
161,600,38870,43655,4785,1
185,600,38243,44003,5760,1
150,600,36803,44077,7274,1
71,600,44280,44280,0,0
1,600,41850,44643,2793,0
174,600,45680,45680,0,0
55,600,43010,46003,2993,1
14,600,46470,46470,0,0
199,600,43580,47807,4227,1
24,600,41484,48269,6785,1
1,600,45243,48429,3186,1
64,600,44410,51205,6795,0
150,600,44677,51211,6534,1
14,600,47070,51404,4334,1
181,600,48310,51539,3229,0
1,600,49029,52140,3111,1
174,600,46280,53890,7610,1
191,600,49630,54143,4513,0
160,600,52750,54526,1776,0
71,600,44880,55327,10447,1
101,600,56230,56230,0,0
24,600,48869,56251,7382,1
193,600,54230,56819,2589,0
58,600,40747,56962,16215,1
64,600,51805,57214,5409,1
69,600,55290,58726,3436,0
160,600,55126,58881,3755,1
141,600,41133,60616,19483,1
150,600,51811,61531,9720,1
167,600,58930,61778,2848,0
193,600,57419,62085,4666,1
101,600,56830,62520,5690,1
185,600,63380,63380,0,0
64,600,57814,63721,5907,1
191,600,54743,65295,10552,1
181,600,52139,65651,13512,1
69,600,59326,68317,8991,1
83,600,66420,68953,2533,0
113,600,65690,69378,3688,0
176,600,65780,69460,3680,0
191,600,70270,70270,0,0
185,600,63980,70684,6704,1
167,600,62378,73447,11069,1
176,600,70060,77417,7357,1
69,600,68917,77625,8708,1
167,600,78170,78170,0,0
181,600,66251,80566,14315,1
83,600,69553,82052,12499,1
191,600,70870,82319,11449,1
197,600,81720,82822,1102,0
176,600,78017,83829,5812,1
83,600,82652,85681,3029,1
176,600,84429,88665,4236,0
41,600,87140,88743,1603,0
167,600,78770,89933,11163,1
197,600,83422,90605,7183,1
55,600,88970,92886,3916,0
113,600,69978,93322,23344,1
3,600,91360,93831,2471,0
116,600,91240,94291,3051,0
176,600,89265,95816,6551,1
167,600,91810,96035,4225,0
108,600,95340,97062,1722,0
116,600,94891,97225,2334,1
41,600,89343,97593,8250,1
197,600,96640,98040,1400,0
77,600,97110,98338,1228,0
181,600,97550,98632,1082,0
30,600,95630,98797,3167,0
83,600,86281,99733,13452,1
55,600,93486,99844,6358,1
3,600,94431,100894,6463,1
161,600,98800,101103,2303,0
108,600,97662,101670,4008,1
176,600,96416,102562,6146,1
116,600,103480,103480,0,0
167,600,96635,104158,7523,1
28,600,106090,106090,0,0
108,600,102270,106263,3993,1
116,600,104080,106475,2395,1
77,600,98938,107959,9021,1
181,600,99232,108425,9193,1
3,600,108440,108440,0,0
55,600,108500,108500,0,0
126,600,104570,109393,4823,0
153,600,106290,109532,3242,0
28,600,106690,110402,3712,1
167,600,104758,112256,7498,1
161,600,101703,114000,12297,1
41,600,114390,114390,0,0
153,600,110132,115534,5402,1
30,600,99397,115670,16273,1
3,600,109040,115731,6691,1
55,600,109100,115977,6877,1
181,600,116330,116330,0,0
